序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1."复辟"中辟的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	2.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	3."果脯"中脯的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	4.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	5."刽子手"中刽的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	6.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	7."飞来横祸"中横的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	8.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	9."混淆"中混的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	10.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	11."拈花惹草"中拈的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	12.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	13."滂沱"中滂的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	14.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	15."眩晕"中晕的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	16.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	17."楔子"中楔的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	18.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	19."倾轧"中轧的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	20.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	21. 巴西首都在哪个城市？	22.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开）	23. 白求恩是哪国人？	24.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开）
1	2021/8/28 14:36:42	153秒	微信	刘韫辉[男,重庆,九龙坡]	123.147.250.73(重庆-重庆)	bi4	pi4	fu3	pu3	gui4	kuai4,hui4	heng4	heng1	hun4	hun3	zhan1	nian1	pang2	pang1	yun1	yun4	xie1	qi1	zha4	ya1	圣保罗	不知道	加拿大	中国
2	2021/8/28 14:36:49	114秒	微信	冰阳[男,浙江,宁波]	125.115.248.249(浙江-宁波)	bi4	pi4	fu3	pu3	kui4	kuai4	heng4	heng2	hun3	hun2	nian1	zhan1	pang1	pang2	yun1	yun4	xie1	qi4	ya4	ga2,zha1	里约热内卢	不知道	加拿大	中国
3	2021/8/28 14:45:15	225秒	微信	int antiluxism😄[男,上海,松江]	101.84.153.208(上海-上海)	pi4	bi4,pi4	pu3	pu3,fu3	gui4	gui4,kuai4	heng2	heng2,heng4	hun3	hun3,hun4	nian1	nian1	pang2	pang2,bang4	yun1	yun1,hun1	xie1	xie1,qi4	ya1	ya1,zhe2	巴西利亚	里约热内卢 ,巴西利亚	加拿大	中国,加拿大
4	2021/8/28 14:45:56	501秒	微信	김소진🕊金昭真[女,北京,通州]	115.27.207.170(北京-北京)	bi4	pi4	fu3	pu2	gui4	gui4	heng4	heng2	hun4	hun3	nian1	nian1	pang1	pang2	yun4	yun1	xie1	xie2	ya4	zha2	巴西利亚	不知道	加拿大	美国
5	2021/8/28 14:47:50	281秒	微信	花子君[未知,,]	115.27.205.202(北京-北京)	bi4	pi4	bu3	pu3	gui4	kuai 4	heng4	heng 2	xiao3	xiao 2	不知道	zhan1	pang 2	不知道	yun1	yun 4	xie1	qi4	不知道	ya4	巴西利亚	圣保罗	加拿大	不知道
6	2021/8/28 14:48:10	372秒	微信	RichSoap[男,云南,临沧]	223.104.39.34(北京-北京)	bi4	pi4	fu3	pu3	gui4	kuai4	heng4	heng2	hun4	hun3	nian1	zhan1	pang2	bang2	yun1	yun4	xie1	qi1	ya4	zha1	圣保罗	巴塞罗那	加拿大	苏联
7	2021/8/28 15:06:07	140秒	微信	Morgen[男,广西,南宁]	115.27.193.235(北京-北京)	bi1	bi1	pu3	pu3	hui4	kuai4	heng2	heng2	hun4	hun4	nian1	nian1	pang2	pang2	yun1	yun1	xie1	xie1	ya4	ya4	里约热内卢	里约热内卢	美国	美国
8	2021/8/28 15:06:48	160秒	微信	lhw[男,福建,泉州]	140.243.162.124(福建-厦门)	pi4	bi4	fu3	pu3	gui4	kuai4	heng4	heng1	hun2	hun3	zhen1	zhan1	pang1	pang2	yun4	yun1	xie1	qi4	ya4	zha1	巴西利亚	里约热内卢	不知道	不知道
9	2021/8/28 15:08:00	267秒	微信	可乐鸡翅[男,浙江,绍兴]	124.160.216.22(浙江-杭州)	pi4	pi4	pu3	pu4	kuai4	hui4	heng2	heng4	hun3	hun4	zhan1	zhan4	peng2	pang2	yun1	yun4	qi4	qie4	ya4	zha1	里约	北京	法国	英国
10	2021/8/28 15:08:52	237秒	微信	涵月楼主[女,上海,]	117.143.176.72(上海-上海)	pi4	pi4,bi4	pu3	pu3	kui4	kuai4,hui4,kui4	heng2	heng4,heng2	hun3	hun3	zhan1	zhan1	pang2	pang2	yun1	yun1	xie1	xie1,xie4,qie4,qie1,qi4	zha1	zha1	巴西利亚	巴西利亚,里约热内卢	加拿大	加拿大
11	2021/8/28 15:10:12	161秒	微信	Chouti[男,福建,福州]	125.210.251.79(浙江-杭州)	pi4	bi4	pu3	pu3,bu3	kuai4	gui4,kuai4	heng2	heng2	hun4	hun3,hun4	zhan1	zhan1,zhang1	pang2	pang2,peng2	yun1	yun1	xie4	qi4,xie4	ya1	ya1,ya4,zha1	巴西利亚	巴西利亚,里约热内卢	加拿大	加拿大,美国
12	2021/8/28 15:11:59	283秒	微信	我是好人[男,天津,南开]	60.27.19.33(天津-天津)	bi4	bi4,pi4	fu3	pu3,fu3	gui4	gui4	heng4	heng4,heng2	hun4	hun4,hun3	nian1	nian1	pang1	pang1	yun4	yun4,yun1	xie1	xie1	ya4	ya4	巴西利亚	巴西利亚,里约热内卢	加拿大	加拿大,美国
13	2021/8/28 15:13:08	171秒	微信	LDA[未知,,]	115.27.200.209(北京-北京)	pi4	pi4,bi4	fu3	fu3,pu3	kuai4	kuai4,gui4	heng2	heng2,heng4	hun4	hun4,hun3	zhan1	zhan1	pang1	pang1,pang2	yun1	yun1	xie1	xie1,qi1	zhe2	zhe2,zha2	里约	里约	苏联	苏联,俄罗斯,中国
14	2021/8/28 15:46:18	125秒	微信	与OS共度良宵[未知,,]	125.86.106.102(重庆-重庆)	bi4	pi4	fu3	pu3	gui4	kuai4	heng2	heng2	hun4	hun3	nian1	zhan1	pang1	pang1,pang2	yun1	yun4	xie4	qi4	ya4	ya4	巴西利亚	我不知道	加拿大	加拿大
15	2021/8/28 16:30:54	305秒	微信	NickH[男,湖南,长沙]	111.22.176.115(湖南-长沙)	bi4	pi4	fu3	pu3	gui4	kuai4	heng4	heng2	hun4	hun3	nian1	zhan1	pang2	不知道	xuan4	xuan2	qie4	qi4	ya4	ya1	巴西利亚	里约热内卢	加拿大	中国
16	2021/8/28 16:44:18	120秒	微信	komorebi🌄[男,黑龙江,哈尔滨]	115.27.213.91(北京-北京)	pi4	bi4	fu3	pu3	gui4	kuai4	heng4	heng2	hun4	hun3	nian1	zhan1	pang1	不知道	yun1	不知道	不知道	不知道	不知道	不知道	巴西利亚	里约热内卢	加拿大	中国
17	2021/8/28 17:15:07	250秒	微信	Tiha[男,河北,张家口]	61.148.244.121(北京-北京)	bi4	pi4	fu3	bu3	kuai4	kui4	heng4	heng2	hun4	hun3	zhan1	nian1	pang2	pang2	yun1	yun1	xie1	qi4	zha1	zha1	巴西利亚	里约热内卢	加拿大	加拿大
18	2021/8/28 18:16:22	313秒	微信	李宁远[男,浙江,杭州]	115.205.22.91(浙江-杭州)	bi4	pi4	fu3	pu3	gui4	kuai4	heng4	heng3	hun3	hun2	nian1	zhan1	pang1	pang2	yun1	yun4	xie1	qi4	ya4	ya1	蒙特利尔	不知道	加拿大	不知道
19	2021/8/28 18:34:18	341秒	微信	hehe[男,北京,海淀]	111.35.224.149(山东-日照)	bi4	bi4,pi4	fu3	fu3, pu3	gui4	gui4,hui4,kuai4	heng4	heng4,heng2	hun4	hun4,hun2,hun3	nian1	nian1,zhan1	pang1	pang1,pang2,bang4	xuan4	xuan4,xuan2	xie1	xie1,qi4	ya4	ya4,zha2,zha1	巴西利亚	巴西利亚, 圣保罗, 里约热内卢	加拿大	加拿大,中国,瑞士
20	2021/8/28 19:10:28	160秒	微信	晨昏万里[男,浙江,金华]	223.104.44.71(北京-北京)	bi4	pi4	fu3	pu3	gui4	kuai4	heng2	heng4	hun4	hun3	nian1	zhan1	pang1	pang2	yun1	yun4	xi1	qi4	ya4	zha2	巴西利亚	圣保罗,里约热内卢	加拿大	美国
21	2021/8/30 21:41:38	97秒	微信	姰頤[女,,]	114.84.1.248(上海-上海)	bi4	pi4	pu3	fu3	kuai4	gui4	heng4	heng2	hun4	hun3	nian1	zhan1	pang2	bang4	yun1	yun1	xie1	qi4	ya4	zha1	不知道	不知道	不知道	中国
22	2021/8/30 21:41:48	153秒	微信	eee[未知,,]	115.27.202.12(北京-北京)	bi4	bi4,pi4	pu2	pu2,pu4	gui4	gui4	heng4	heng2,heng4	hun4	hun3,hun4	zhan1	zhan1	pang1	pang1	yun1	yun1,yun4	qi4	qi4,qie4	zha4	zha4	里约热内卢	里约热内卢	加拿大	加拿大
23	2021/8/30 21:43:49	360秒	微信	沧浪濯缨[男,广东,深圳]	175.159.124.90(香港-未知)	bi4	pi4,bi4	fu3	fu3,pu3	gui4	gui4	heng4	heng4,heng2	hun4	hun3,hun4	nian1	nian1,dian1,zhan1	pang1	pang1,pang2	yun4	yun4,yun1	xie1	xie1,qi4	ya4	ya4	巴西利亚	巴西利亚, 里约热内卢, 圣保罗	加拿大	加拿大
24	2021/8/30 21:44:03	290秒	微信	momo[未知,,]	106.121.6.170(北京-北京)	bi4	bi4,pi4	fu3	pu3,fu3	gui4	gui4,kuai4	heng4	heng4,heng2	hun4	hun4,hun3	nian1	nian1,zhan1	pang1	pang1,pang2	yun1	yun1	xie1	xie1,qi4	ya4	ya4,ya1	巴西利亚	巴西利亚,圣保罗	加拿大	加拿大
25	2021/8/30 21:47:00	140秒	微信	超级红脑壳[女,,]	175.9.228.158(湖南-长沙)	pi2	pi2	pu3	pu3	gui4	gui4	heng2	heng2	hun4	hun4	zhan1	zhan1	pang2	pang2	yun1	yun1	xie1	xie1	ya4	ya4	巴西利亚	里约热内卢	加拿大	加拿大
26	2021/8/30 21:49:56	226秒	微信	Y. & F.[男,广东,深圳]	175.159.124.72(香港-未知)	pi4	bi4	pu3	pu2	kuai4	hui4	heng4	heng2	hun4	hun3	zhan1	nian1	pang2	pang1	yun1	yun4	qi4	qie4	ya4	zha1	巴西利亚	里约热内卢	加拿大	美国
27	2021/8/30 21:53:43	363秒	微信	柚子同学[女,,]	101.86.146.152(上海-上海)	bi4	bi4,pi4	pu3	pu3,fu3	gui4	gui4,kuai4	heng4	heng3,heng4	hun4	hun4,hun3	nian1	nian1,zhan1	pang3	pang3	yun1	yun1,yun4	qi1	qi1	不知道	nian3	不知道	里约热内卢	不知道	苏联
28	2021/8/30 21:56:21	147秒	微信	aglc[女,江苏,泰州]	223.104.42.151(北京-北京)	pi4	pi4	fu3	fu3	kuai4	gui4	heng4	heng4	hun3	hun3	zhan1	zhan1	pang1	pang1	xuan4	xuan4	xie1	xie1	ya4	ya4	圣保罗	里约热内卢,圣保罗	美国	美国,苏联
29	2021/8/30 22:04:50	207秒	微信	KLMN[女,,]	223.104.50.251(福建-南平)	bi4	bi4,pi4	pu3	pu3,fu3	kuai4	kuai4,hui	heng4	heng4,heng2	hun4	hun4,hun3	zhan1	zhan1	pang2	pang2	yun1	yun1	qi4	qi4,qie4	zha1	zha1,zha2	不知道	一个都说不出来	英国	英国,美国,中国
30	2021/8/30 22:10:21	141秒	微信	PhoenixRain[女,陕西,西安]	36.46.0.85(陕西-西安)	pi4	pi4	pu2	pu2	gui4	kuai4	heng2	heng2	hun3	hun3	nian1	nian1	pang1	pang2	yun1	yun1	xie1	qi1	ya4	ya4	不知道	不知道	加拿大	加拿大,美国,中国
31	2021/8/30 22:21:48	138秒	微信	ARE[男,浙江,绍兴]	117.136.38.118(北京-北京)	bi4	pi4	bu3	pu3	kui4	hui4	heng4	heng2	hun3	hun4	zhan1	zhan1	pang2	pang2	yun1	yun1	xie1	qi1	ya4	ya4	不知道	里约热内卢	加拿大	中国
32	2021/8/30 22:26:13	573秒	微信	Gaza[女,广东,]	116.25.236.118(广东-深圳)	bi4	bi4,pi4	fu3	fu3,pu3	gui4	kuai4	heng4	heng2,heng4	hun4	hun4	nian1	nian1,zhan1	pang2	pang2	yun4	yun4,yun1	xie1	xie1,qi4	zhe2	zhe2,zha1	里约热内卢	里约热内卢	美国	美国,中国
33	2021/8/30 22:29:49	532秒	微信	充电宝[男,广东,深圳]	61.141.250.248(广东-深圳)	bi4	pi4	fu3	pu3	hui4	kuai4,hui4	heng4	heng2,heng4	hun4	hun4	nian1	zhan1,nian1	pang2	pang2	yun1	yun1,yun4	xie1	xie1,qi4	ya4	ya4,zha1	不知道	圣保罗,里约	加拿大	加拿大,美国,澳大利亚
34	2021/8/30 22:49:09	193秒	微信	hxy[未知,北京,海淀]	171.113.37.10(湖北-武汉)	pi4	bi4	pu3	bu3	gui4	kuai4	heng2	heng2	hun3	hun4	nian1	zhan1	Pang2	pang2	yun1	yun4	xie1	qi4	ya4	ya4	不知道	巴塞罗那	不知道	中国人
35	2021/8/30 23:06:35	225秒	微信	小十二[女,,]	115.27.193.250(北京-北京)	pi4	bi4	pu3	fu3	kuai4	gui4	heng4	heng2	hun3	hun3	zhan1	nian2	pang2	pang2	xuan4	xuan2	qi4	xie4	ya4	ya4	不知道	不知道	不知道	不知道
